,Date,Close_AAPL,Close_AMZN,Close_META,Close_MSFT,Close_ZM,High_AAPL,High_AMZN,High_META,High_MSFT,High_ZM,Low_AAPL,Low_AMZN,Low_META,Low_MSFT,Low_ZM,Open_AAPL,Open_AMZN,Open_META,Open_MSFT,Open_ZM,Volume_AAPL,Volume_AMZN,Volume_META,Volume_MSFT,Volume_ZM
0,2022-01-03,179.0766,170.4045,337.25174,326.94083,184.26,179.93259,170.7035,339.78204,330.11502,184.91,174.84592,166.1605,335.90686,322.08676,177.24,174.96397,167.55,337.01263,327.52682,184.44,104487900.0,63520000.0,14537900.0,28865100.0,3171900.0
1,2022-01-04,176.80383,167.522,335.24933,321.33475,179.85,179.99162,171.4,341.78436,327.38034,183.555,176.23318,166.3495,330.60706,318.51215,172.1,179.68661,170.438,338.65634,327.01895,183.32,99310400.0,70726000.0,15998000.0,32674300.0,5269800.0
2,2022-01-05,172.10083,164.357,322.9364,308.99933,174.88,177.26622,167.1265,334.4823,318.4633,183.67,171.82535,164.357,322.60764,308.60867,174.29,176.71524,166.883,331.7527,318.25815,175.975,94537600.0,64302000.0,20564500.0,40054300.0,3772300.0
3,2022-01-06,169.22792,163.254,331.19482,306.5577,176.33,172.47473,164.8,337.8793,311.26526,181.88,168.87372,161.937,321.4919,304.22345,171.23,169.91664,163.4505,321.59152,305.84473,173.09,96904000.0,51958000.0,27962800.0,39646100.0,4002500.0
4,2022-01-07,169.39519,162.554,330.52737,306.71396,171.6,171.33344,165.2435,335.71753,309.11658,180.67,168.27356,162.031,327.62845,302.85608,170.72,170.10359,163.839,331.47375,306.82138,176.05,86709100.0,46606000.0,14722000.0,32720000.0,3089400.0
5,2022-01-10,169.41489,161.486,326.82153,306.93854,172.56,169.7199,161.6615,327.09048,307.37805,173.23,165.45967,156.3045,314.2296,297.58203,164.9,166.35501,160.5855,324.07202,302.27005,169.32,106765600.0,87798000.0,24942400.0,44289500.0,3502300.0
6,2022-01-11,172.25826,165.362,333.09756,307.632,175.97,172.35663,166.35,333.3566,309.22394,178.88,168.06693,160.7015,324.04214,302.66074,169.45,169.54274,161.5,325.53644,306.0693,172.15,76138300.0,62806000.0,16226800.0,29386800.0,2411000.0
7,2022-01-12,172.70102,165.207,331.99182,310.8453,170.65,174.32442,166.878,335.08997,315.86542,179.9,172.00247,164.417,328.7741,309.68307,169.7,173.28151,166.575,333.9045,312.21268,177.0,74805200.0,50030000.0,14104900.0,34372200.0,2704300.0
8,2022-01-13,169.41489,161.214,325.2376,297.68945,162.1,173.77348,166.2215,334.35278,313.39435,170.39,169.02132,161.091,324.52036,296.90814,162.0,172.94702,165.2505,333.70526,312.9939,170.1,84505800.0,52188000.0,14797100.0,45366000.0,4612500.0
9,2022-01-14,170.2807,162.138,330.63702,302.9636,159.72,170.97925,162.25,331.4639,303.56912,164.89,168.3326,159.8005,319.9877,296.66406,156.88,168.57857,160.15,320.56552,297.15237,161.42,80440800.0,45974000.0,16868500.0,39846400.0,4700700.0
10,2022-01-18,167.06337,158.9175,316.93933,295.5897,157.7,169.7592,159.7345,322.97626,302.57288,162.98,166.67966,157.6645,316.4313,294.70093,156.0,168.7458,159.105,322.05978,296.9766,156.324,90956700.0,67292000.0,22645600.0,42333200.0,4360900.0
11,2022-01-19,163.55092,156.299,318.37384,296.2538,157.23,168.32275,159.25,325.8553,306.587,162.99,163.2656,156.25,318.1148,295.63855,156.94,167.26016,158.762,318.36386,299.14478,158.65,94815000.0,53242000.0,20814700.0,45933900.0,3305200.0
12,2022-01-20,161.85864,151.6675,315.35535,294.56418,155.81,166.94531,158.0,326.5725,304.37973,163.48,161.53397,151.351,314.77756,294.11493,155.65,164.28883,156.766,322.66742,301.85992,159.55,91420500.0,71974000.0,16925000.0,35380700.0,3710700.0
13,2022-01-21,159.79248,142.643,302.01633,289.12408,147.66,163.6493,150.9,317.0987,297.01556,156.91,159.68425,142.0705,301.8868,288.71387,147.11,161.77008,149.95,313.61203,295.62872,153.98,122848900.0,163972000.0,28710700.0,57984400.0,5722600.0
14,2022-01-24,159.0152,144.544,307.53522,289.45612,152.95,159.68425,144.945,308.3521,290.17883,153.24,152.20673,135.352,287.91022,269.61014,138.91,157.441,139.0,296.70657,285.38342,141.68,162294600.0,155624000.0,38878100.0,85731500.0,8231800.0
