,Year,Starting_Price_year,Ending_Price_year,return_rate_AAPL_year
0,2000,0.78988385,0.22406726,-0.7163288501214451
1,2001,0.22406726,0.32988685,0.47226707730526996
2,2002,0.33214673,0.21585783,-0.35011303588627835
3,2003,0.21631002,0.3219035,0.4881580612862965
4,2004,0.32461476,0.9700792,1.9884013900045705
5,2005,0.9758036,2.1658075,1.2195116927217733
6,2006,2.1805692,2.5559478,0.17214707059055973
7,2007,2.5996323,5.9674954,1.295515177281033
8,2008,6.003345,2.571312,-0.5716867846175757
9,2009,2.5872798,6.348596,1.4537724910927683
10,2010,6.429939,9.717665,0.5113152706425365
11,2011,9.810457,12.201308,0.2437043452715811
12,2012,12.333869,16.174898,0.31142125800103754
13,2013,16.832926,17.480133,0.038448870980600645
14,2014,17.313751,24.581001,0.4197386227860156
15,2015,24.805914,23.840199,-0.038930837218898805
16,2016,23.240005,26.815556,0.1538532801520482
17,2017,26.810928,39.81154,0.4848997393898488
18,2018,40.030323,37.665607,-0.05907311814596153
19,2019,36.98508,71.17212,0.9243467906517979
20,2020,71.79987,129.75159,0.807128480873294
21,2021,130.5632,174.70813,0.33811158121124496
22,2022,174.96397,128.57788,-0.2651179554281947
23,2023,128.92424,191.59137,0.4860771721438887
24,2024,186.23761,258.2,0.38640095306205874
